gene_ids,Malignant,MG/Mp,ILC/gdT,CD4,Oligodendrocytes,Treg,CD8,DC,etc.,Neutrophils
ENSG00000238009,0.057637304,0.0037029923,0.1026494,0.0055488837,0.0072474205,0.30561006,0.009104974,0.29354867,0.242335,0.19916059
ENSG00000237491,0.08144297,0.05225207,0.02585956,0.02347451,0.05643124,0.047346633,0.040237047,0.11422271,0.01633816,0.091904424
ENSG00000177757,0.39985862,0.012145245,0.3092492,0.042529907,0.015617446,0.7589252,0.15822324,0.66542363,0.2802191,0.47253716
ENSG00000225880,0.023534037,0.02269508,0.022365505,0.019930972,0.006089826,0.03408557,0.010979821,0.030936541,0.013816766,0.021619247
ENSG00000230368,0.04430845,0.014562504,0.013255648,0.007919528,0.01433007,0.02198671,0.006283867,0.038655397,0.015832866,0.024286462
ENSG00000230699,0.15879571,0.009309394,0.35014272,0.05588634,0.0200538,0.6227903,0.13232961,0.5439251,0.39160377,0.5167005
ENSG00000187634,0.02342311,0.00063364115,0.0052252277,0.0017145651,0.0010323374,0.023411853,0.0017996571,0.022179037,0.014678986,0.010935833
ENSG00000188976,0.19111423,0.06633452,0.12719798,0.077028565,0.12094654,0.13918814,0.08048327,0.055290043,0.06795846,0.10370593
ENSG00000187961,0.025344329,0.002158451,0.016454596,0.0054483972,0.0067045824,0.054553945,0.0040863273,0.023170404,0.02234918,0.017003935
ENSG00000187583,0.040949393,0.0011944568,0.09602529,0.024637723,0.0034610438,0.34170228,0.017203664,0.39929336,0.23130511,0.19608171
ENSG00000272512,0.16095316,0.006120256,0.23971537,0.03794328,0.014915148,0.4774434,0.057853274,0.36310604,0.4325791,0.15784873
ENSG00000188290,0.047468573,0.021475228,0.052654717,0.01036437,0.004021156,0.045361508,0.0070871995,0.13897343,0.023560606,0.08399244
ENSG00000187608,0.50327027,0.19429743,0.2617736,0.32484132,0.14494984,0.8511316,0.480064,0.08976246,0.16364573,0.3171307
ENSG00000188157,0.16517934,0.008596042,0.010479848,0.003723149,0.1186747,0.021458685,0.0027323351,0.024459612,0.010301107,0.00802766
ENSG00000273443,0.5144085,0.075670674,0.8468442,0.3882967,0.18254781,0.43833283,0.34260395,0.41775453,0.40113384,0.85344255
ENSG00000131591,0.05411273,0.01683973,0.04125381,0.011568332,0.05172602,0.019332103,0.014059098,0.04157305,0.037360363,0.026665406
ENSG00000162571,0.20231824,0.0028169935,0.19573216,0.023493674,0.0066285506,0.51738006,0.031694975,0.4164004,0.37164387,0.19631067
ENSG00000186891,0.008873689,0.003496981,0.69864315,0.12887998,0.0017686954,1.0608988,0.004429819,0.01388319,0.120438,0.010183817
ENSG00000186827,0.008359168,0.028440397,0.07828655,0.18686877,0.0020952676,0.6812766,0.005013544,0.017781558,0.10994998,0.0112063885
